companyName,company_starRating,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url
DBS Bank,3.9,Middleware Software engineer,Singapore,"Develop/Maintain Middleware software to support Distributed Batch Jobs and Distributed processing Develop/Maintain Middleware software to support Test Environment Provisioning Develop/Maintain Middleware software to support Auto-scaling for different infrastructure (VM/cloud/Kubernetes) Build/Maintain tools to support Release management and Test Maintain documentation and test coverage Root cause analysis, management communication and client relationship management in partnership with Infrastructure Service Support team members Responsible for handling Release Management, raising Change Request and scheduling for the implementation of fixes and enhancements. Root cause analysis, management communication and client relationship management in partnership with Infrastructure Service Support team members. Ensures all production changes are made in accordance with life-cycle methodology and risk guidelines Application Support, Deployment of Release, patches & fixes on Platform Experience in backend development in Spring Boot/Quarkus Experience with Caching Databases such as Redis, Hazelcast, Memcache Experience with relational databases such as MariaDB, Sybase Experience with deployment on different infrastructures such as Kubernetes/Virtual Machines Experience in micro-service design such service discovery, service load-balancing, Saga pattern, auto-scaling and fault tolerance Experience with Clustering and coordination with ZooKeeper/Curator or ETCD Experience with CI/CD tools such as Jenkins/Bamboo Experience with SPA development in ReactJS/Vue.js/Angular/LitElements Experience with PERL scripts",https://www.glassdoor.com/partner/jobListing.htm?pos=230&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&cs=1_91404adc&cb=1660151295409&jobListingId=1008063871920&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-78bca93ba3e73ead-
LEDR Pte Ltd,NA,Software Engineer,Singapore,Additional leave Flexible schedule Work from home Flexible hours Bachelor's or equivalent (Preferred) Programming: 4 years (Required),https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9ce15cbc&cb=1660151295406&jobListingId=1008058385936&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-ea951d8c27b136e6-
iZeno,3.0,Software Engineer (PHP),Singapore,"Writing maintainable and extensible PHP code Design, develop, deploy and support Business Applications (E.g. SugarCRM) Implement CRM project Collaborate with others in an open environment Diploma/Professional certificate/Bachelor Degree in Computer Science/Information Technology or equivalent Minimum 1 year relevant working experience preferred, fresh graduates may be considered Experience in CRM implementation projects Deep understanding of Algorithms Thorough understanding of Performance and Scalability Understanding of Data Modelling and application design Required skills: PHP Strong analytical skills and problem solver Hybrid mode: 9 days per month work from home (remote) An exciting job with latest technology Continuous training & development of soft and hard skills A competitive salary, inline with your profile A package of benefits including healthcare insurance An awesome team of colleagues & regular team building activities The ability to work with the world’s leading companies in technology and innovation An environment where we embrace openness, transparency and grab every opportunity to have fun, while always doing what is right for our customers and partners.",https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_482d5b7e&cb=1660151295407&jobListingId=1007766969584&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-5c912a9ae1ae3af8-
Indeed,4.4,Software Engineer I (multiple roles) - Job Seeker,Singapore,"
1+ years experience as a Software Engineer successfully tackling challenging problems at scale 
Solid knowledge of data structures and algorithms and excellent programming skills 
Experience with Java, Javascript, Typescript, React 
Demonstrated ability to operate as a high-performing member of a small, cross-functional team",https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&cs=1_6eed597e&cb=1660151295406&jobListingId=1007133972533&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-ebd90491e5a5306e-
Indeed,4.4,Software Engineer II (multiple roles),Singapore,"
BS in Computer Science or equivalent practical experience 
2+ years experience in software development 
Demonstrated ability to operate as a high-performing member of a small, cross-functional team 
Excellent written and verbal communication skills with the ability to present complex technical information in a clear and concise manner to a variety of audiences 
Knowledge of Java, React, Spring Framework, Protobuf, ReST, GraphQL and JSON.",https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&cs=1_0e765833&cb=1660151295406&jobListingId=1006860324607&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-66b754c47f4a259b-
"JPMorgan Chase Bank, N.A.",3.7,Software Engineer- Analyst,Singapore,"Bachelor's degree in Engineering, Computer Science or related disciplines.
 Minimum 1 year of software engineering experience, preferably within the Financial Services sector
 Enthusiastic, self-motivated, strong interest in learning, resilient
 Strong analytical and problem solving skills, bring innovative and new ideas to the table
 Comfortable multi-tasking with minimal supervision
 Ability to work in large, collaborative teams across geographical boundaries to achieve organizational goals
 Eagerness to take accountability/ownership of work, have real business impact, collaborate with a global community of developers sharing the technology and code base.
 Proficiency in one or more modern programming languages and willingness to pick up skill on new and legacy technology
 Understanding of Foreign exchange & Fixed Income products will be considered favorably
",https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&cs=1_6c4ee904&cb=1660151295408&jobListingId=1008039174035&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-c7661a960427bf98-
Palazon Technology Pte Ltd,2.5,Web Developer,Singapore,"Working projects on web application design, development and maintenance. Designing, prototyping, testing and documenting web applications based on system specifications and requirements. Delivering results/milestones on-time with high level of quality and customer satisfaction. Providing technical support for web applications. Minimum Diploma holders or above in IT or Software. Proficiency in HTML, Javascript and CSS is a must. Proficiency in MySQL, or other relational databases. Experience in PHP, Python or Java is a must. Experience in version control tools. Ability to learn new skills quickly. Passion in software coding and design. Excellent problem-solving skills, with the ability to design and devise logic on your own. Excellent communication skills along with basic know-how of Agile/Scrum. Additional leave Cell phone reimbursement Dental insurance Flexible schedule Health insurance Professional development Promotion to permanent employee Work from home Monday to Friday Commission pay Overtime pay Performance bonus Yearly bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c35649e3&cb=1660151295409&jobListingId=1008037260466&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-b5c99f156ad93221-
Titansoft Singapore,4.2,Software Developer,Singapore,"Apply your expertise on our web applications using C#, ASP.NET and SQL 
Integrate awesome web applications with database or API-driven back-ends 
Design incredible templates for users' ease of use 
Enjoy solving problems with your team before they even turn into one 
Challenge ideas and spawn something revolutionary 
Work in a dynamic, collaborative and non-hierarchical team to break new grounds 
0 - 2 years of technical expertise in the software industry (fresh graduates definitely welcome!) 
Knowledge and experience on industry best practices, such as Test-Driven Development and Clean Code 
Passionate about life and how to make it better through technology 
Continuously seek improvements in our products, processes and people 
Constantly honing programming techniques and developing new skills 18 days of rest and relaxation for each year (P.S. It gets even better over the years!)
 Competitive salaries and bonuses bench-marked against big players in the industry (Yeap, those companies!)
 Flexible working hours (Sleep in a little longer after fixing that pesky bug from last night)
 Comprehensive insurance coverage
 Very well-stocked pantry (We've never heard of the term 'Hunger Games', nope)
 Communities of Practice and Workshops catered for your growth and learning
 Substantial subsidies and programs to keep that creative flow while having fun (Health promotion program, annual overseas company outing, an annual dinner that nobody will ever forget, etc.)
 Hardcore work and hardcore fun!",https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&cs=1_77d1b454&cb=1660151295409&jobListingId=1005596425657&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-7db057a702f588ea-
Indeed,4.4,Staff Software Engineer (multiple roles),Singapore,"
Improve our current products to better match job seekers and employers in specific high priority and strategic markets 
Architect new solutions and validate new ideas by either building on top of existing solutions or by prototyping new products 
Identify system architecture and product design improvements to better support feature development and integration with new products for job seekers in all international markets 
Mentor engineers and provide feedback on software architecture designs and implementations of new products and features. 
Strong sense of ownership in everything they build, able to build new products from scratch quickly 
Comfortable working in other teams’ code bases 
BS in Computer Science or related area, or relevant work experience 
7+ years of experience in software development 
Experience building scalable, distributed, highly-available systems 
Knowledge of Java, React, Spring Framework, Protobuf, REST, gRPC, GraphQL and JSON 
Experience in building Machine Learning pipelines desired",https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&cs=1_da6ad19b&cb=1660151295407&jobListingId=1007285082715&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-d2f785ec70a7f6aa-
ITCAN Pte Ltd,4.0,"Cloud Engineer, Information Technology",Singapore,"Participate in Cloud Migrations for VMs using tools like AWS / Azure. Ability to codify or maintain cloud systems in an automated fashion using tools like Ansible, Terraform etc with proper documentation Apply technical knowledge, hands-on and customer insights to operate and administrate a cloud infrastructure Ensure all configuration conforms to high levels of performance, security, scalability, maintainability, and appropriate reusability and reliability upon deployment, aligning to design documentation specifications Ability to codify or implement/deploy configurations with the principles of automation by default in new projects with proper documentations Collaborate with team members to engage clients in operational meetings, discussions, process betterment and contribute to optimisations for the client’s environment Maintain technical skills, certifications and knowledge of market trends and competitive insights; collaborate and share with the technical community specifically in the cloud space Ability to manage issues with proper resolution/documentation and SLAs is required for this role Day shift Flexible hours Monday to Friday",https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_aced5752&cb=1660151295409&jobListingId=1008004808993&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-9cbcf0aa8189a3af-
CrimsonLogic Pte Ltd,4.1,Software Engineer Intern,Singapore,"Analyze requests for enhancements/changes and write amendment/program specifications Update system documentation Perform and manage stages of the SDLC and participate in the systems review with Project Lead/Manager Understand the interdependencies of the services (application, system and database) and able to pin-point problem areas accurately to improve overall efficiency Design and document system design, architecture and propose appropriate technologies and tools required to implement systems; and ensure users sign-off on design specifications Use development tools to develop applications for better productivity Develop test cases, conduct SIT, load test and tune the performance of systems to meet SLA Basic knowledge in Java, Python, C# Monday to Friday",https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7db0051a&cb=1660151295409&jobListingId=1007997373501&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-801fd49c18e6b617-
Equotix Pte Ltd,NA,Web Development Engineer,Singapore,"
Full stack web development (front end + back end) 
Deploy and test new or existing web applications 
Write high-quality, clean, elegant and maintainable code 
Enjoy programming 
Perfect written English 
Possess at least a Diploma or GCE 'A' level certificate 
Strong knowledge and background in any programming language 
Experience in software development or any relevant projects 
Proficiency in at least two programming language or technology including, but not limited to PHP, Javascript/jQuery, HTML, CSS, MySQL will be beneficial but not obligatory 
A team player, willing to help other developers, share knowledge and care about the software that you build 
Fresh graduates with no experience in web development are welcomed",https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&cs=1_4be1d1cb&cb=1660151295407&jobListingId=1007630684298&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-86c17fd077afea55-
GRG Equipment (Singapore) Pte. Ltd,NA,Software Developer,Singapore,Cell phone reimbursement Professional development Promotion to permanent employee Flexible hours Monday to Friday,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4f85f643&cb=1660151295408&jobListingId=1008054917783&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-5fcb6621737833e3-
Rolls-Royce,4.0,Software Engineer (Python/SQL),Singapore,"
Working with colleagues to understand and implement requirements 
Delivering the data supply chain, understanding how data is ingested from different sources and combined / transformed into a single data set. 
Understanding how to analyse, cleanse, join and transform data. 
Implementing reusable data solutions and software frameworks for complex data processing requirements 
Implementing designed / specified solutions into the chosen platform 
Working with colleagues to ensure that the on-prem/cloud infrastructure available is capable of meeting the solution requirements. 
Planning, designing and conducting tests of the implementations, correcting errors and re-testing to achieve an acceptable result. 
Appreciate how to manage the data including; security, archiving, structure and storage. 
Degree level education in Mathematics, Scientific, Computing or Engineering discipline or equivalent experience with demonstrated working experience at various levels of Data Engineering/Software Engineering roles 
Experience building, optimizing and automating Big Data pipelines, architectures and data sets using MS Azure (or similar cloud platforms) data management and processing components through IaaS/PaaS/SaaS implementation models implemented through custom solutions 
Proficiency in Python scripting. Experience in using different python modules for data munging and implementing processing frameworks 
Experience in designing solutions using databases and data storage technology using RDBMS (MS SQL Server) and NoSQL data stores. 
Be up to date with data processing technology / platforms such as Spark (Databricks) 
Experienced in Azure DevOps 
Experience of working in tightly regulated industry is desirable 
Experience with at least one ETL and/or data integration tool such as Informatica, Datastage, SSIS or MuleSoft is highly desirable 
Good understanding of infrastructure components and their fit in different types of data solutions 
Experience of designing solutions deployed on Microsoft and Linux operating systems 
Experience of working in an agile environment, within a self-organising team.",https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&cs=1_fc05d390&cb=1660151295409&jobListingId=1007136949657&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-66968e493beebe1b-
MasterCard,4.3,Software Engineer,Singapore,"Are you passionate about software engineering? Do you enjoy seeing your code have real-world impact on a wide range of customers and important problems? Do you want to join a company that offers a competitive benefits program that attracts and retains the most talented engineers around the world? Do you want to work for a company that offers additional benefits that match our values such as flexible work hours, paid volunteer days, charitable matching, and tuition assistance? Do you thrive in a place where you are continuously learning more while growing your skills and career? Do you want to join an inclusive culture where employees, in all their diversity, feel valued, respected, and who can bring their authentic selves to work? Learn more at Mastercard’s Corporate Sustainability Report. A hands-on engineer who writes high-quality code with a focus on security, design, and maintainability. Contribute to all phases of software development from design through rollout. Have strong ownership of your team’s software including monitoring, dependencies, build, and deployments. Communicate, collaborate and work effectively in a global environment. Currently enrolled in your final year of a bachelor’s or accelerated master’s program Strong foundation in algorithms, data structures, and core computer science concepts. Proficiency in one or more general-purpose programming languages such as Java, JavaScript, C#, Python, etc. Strong written and verbal English communication skills. Strong analytical and excellent problem-solving skills. 
Abide by Mastercard’s security policies and practices; 
Ensure the confidentiality and integrity of the information being accessed; 
Report any suspected information security violation or breach, and 
Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.",https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1136043&s=58&guid=0000018288ba6c518122c4df14d4fdcc&src=GD_JOB_AD&t=SR&vt=w&cs=1_bb9303d7&cb=1660151295405&jobListingId=1008056288919&jrtk=3-0-1ga4bkr3li7l6801-1ga4bkr47i9hu800-fe1ce0b32e6137c1-
